,storm_speed,srh,srh_left,srh_right,bulk_shear,tornado,ef_rating,cape,cin
297,9.3,,,,7.175545750287817,0,,3353.374432037393,-17.535577266334933
298,8.4,,,,4.279213786492067,0,,2841.956408139252,-68.99143384621142
299,12.0,,,,9.755817639036701,0,,951.7657236186269,-65.28001606860833
300,12.4,,,,1.933955666834338,0,,2273.395696407327,-147.3636916431478
301,10.2,,,,9.031625574638555,0,,2492.12537518983,-57.76249694641211
302,12.1,-0.00010000000000000698,,,12.714165328483029,0,,572.1430610193181,-351.4079014538928
303,14.6,0.0006000000000000028,,,6.901893204789031,0,,3977.1853463329453,-84.54836954601134
304,14.5,-0.006899999999999992,,,5.282212510294047,1,0.0,3341.996371740871,-103.79854990923224
305,11.0,,,,5.70087712549569,0,,2504.911811954006,-77.39806121899123
306,15.5,-0.010699999999999998,,,11.200892821556682,1,0.0,204.73111918097018,-97.53074251823281
307,12.1,,,,7.280097543757242,1,0.0,1177.2032324911224,-130.6873867854857
308,10.8,0.007100000000000016,,,12.165905696883975,1,0.0,1208.4174977455968,-112.7242199766447
309,14.9,,,,4.240784256596346,1,0.0,1756.6512401176017,-12.195306480851892
310,15.0,-0.034799999999999956,,,4.284204065198302,1,0.0,1379.764180311314,-43.05444607565388
311,12.6,-0.006800000000000012,,,5.610132300679989,1,0.0,1711.0278242453917,-149.8097410096053
312,12.6,,,,6.429102737373564,1,0.0,2372.6550959831798,-94.88357633766684
313,11.8,-0.003600000000000014,,,8.159624760235806,1,0.0,3278.747669179903,-51.807949266644805
314,11.2,-0.011600000000000015,,,7.805751602569844,0,,1932.3798303080962,-130.922636090981
315,10.6,,,,13.800502545901141,0,,2237.7391766260216,-65.19512195739101
316,9.5,0.0075000000000000015,,,6.875568171566215,1,0.0,1288.7760564306946,0.0
317,8.9,-0.0002000000000000274,,,9.461519841575704,1,0.0,0.0,0.0
318,9.6,0.0116,,,16.25717723855638,0,,150.9729157286065,-53.834995218736054
319,10.1,0.012900000000000003,,,14.44758555807629,0,,1308.0877469958336,-58.07518172636042
320,10.7,,,,7.010326563034976,0,,768.8329168254664,-79.82988967196013
321,9.9,,,,,0,,0.0,0.0
322,9.5,0.011600000000000003,,,15.192103211866353,0,,139.89648044586977,-112.65009856551816
323,8.9,0.011999999999999997,,,13.851677376622893,0,,1025.163704953857,-107.05843628027392
324,11.3,-0.014200000000000003,,,9.428258566048665,0,,553.562434316233,-309.32475581812633
325,11.9,0.0019000000000000128,,,7.971121320116378,0,,575.0259410363456,0.0
326,11.9,,,,,0,,0.0,0.0
327,14.3,0.0022999999999999718,,,17.7989027597083,0,,776.786612461814,-82.1622143183856
328,14.5,,,,12.343419299367579,0,,98.57509766205793,-76.1916400046897
329,14.5,-0.007499999999999985,,,8.56807762986469,0,,82.46312493118126,-132.74680927752541
330,13.8,,,,5.261178575186363,0,,294.13463158813823,-208.70765130172578
331,10.2,-3.312237636943216e-17,,,10.770329614269007,0,,3008.159491044738,-49.08802572318146
332,8.6,,,,11.441049026456191,0,,3135.938455434105,0.0
333,9.1,,,,,0,,0.053224155904088126,-29.23498646348665
334,11.9,-0.00250000000000002,,,8.648445913587148,0,,4326.434481142096,-13.53215442688553
335,15.8,0.008099999999999991,,,5.408849434437807,0,,3153.809862881113,-37.05682220972425
336,15.8,,,,8.965204299765263,0,,1350.257786140482,-24.275603983976296
337,22.9,,,,21.888530834472924,1,3.0,818.6211769834687,-346.8917742120305
338,25.7,,,,22.561028345356956,1,3.0,1195.65745243307,-168.22100676441752
339,25.3,,,,25.393701315099438,1,1.0,889.448709343015,-318.04038046539887
340,25.3,,,,21.38447660342118,1,1.0,1647.0418870927983,-175.15389527154468
341,21.9,,,,18.154616561017807,1,1.0,1509.007731441815,-9.80135433001429
342,22.6,,,,21.926092069768917,1,1.0,2263.133874285992,-151.9218052138451
343,24.2,,,,21.87711461399904,1,4.0,1446.4193926310902,-191.17326744043737
344,24.2,,,,22.753463010808247,1,4.0,1628.8976353497294,-22.891147371241935
345,23.2,,,,21.105603717484275,1,4.0,2869.944612365482,-19.363852929582183
346,19.1,0.02359999999999997,,,27.252618254147293,0,,1972.0894463602276,-153.19530863511523
347,18.5,,,,22.10158260909328,1,4.0,2018.5353259027368,-132.6285855328729
348,17.6,,,,17.170433451481717,0,,1954.9330411589558,-204.95335731929316
349,21.2,,,,26.064226027551204,1,3.0,0.05668449727277634,-5.3418274454318695
350,23.1,,,,,1,2.0,,
351,24.5,,,,15.554099138169333,1,0.0,2272.8166596487913,-81.86123308407707
352,24.5,-0.0019000000000000245,,,17.616233941679035,1,0.0,3227.054625200305,-167.80528472364915
353,20.4,,,,24.438715585018937,0,,482.5724967799777,-40.79393849421066
354,10.2,,,,14.600085565245164,1,0.0,2572.2808932518046,-133.69220680228867
355,10.4,,,,14.825549255892255,1,0.0,3665.8503827905574,-14.21610986903291
356,19.5,,,,13.560454278948516,1,0.0,1826.6647285703302,-91.02190212093883
357,16.6,0.00930000000000003,,,14.970237060470188,1,1.0,2125.354928154726,-21.56043479762918
358,16.6,-0.0011000000000000038,,,4.897060277672432,1,1.0,32.84319727552617,0.0
359,13.0,,,,14.020862238562325,1,1.0,398.6136872022403,-45.69258016449371
360,12.4,,,,19.752064895779622,1,1.0,2338.6348916347138,-33.6103142483014
361,11.1,0.0054,,,17.48000072984994,1,1.0,2062.3170315790985,-13.382171772986068
362,9.4,,,,19.847927293623783,1,1.0,2235.1721289792645,-34.96547497540535
363,16.4,,,,17.154313074813043,1,1.0,1336.9000310420374,-57.135036184582816
364,16.8,,,,18.767258723638886,1,1.0,1534.8910646855493,-53.65546436102313
